threshold,recall_bad,recall_good,model_name
0.12,0.7016713970356354,0.28336755646817247,Extreme Model
0.13,0.6822243246084305,0.31006160164271046,Extreme Model
0.14,0.6633028487333124,0.32854209445585214,Extreme Model
0.15,0.64532744665195,0.34496919917864477,Extreme Model
0.16,0.6298749080206034,0.35728952772073924,Extreme Model
0.17,0.6150530852517607,0.36960985626283366,Extreme Model
0.18,0.601177336276674,0.3757700205338809,Extreme Model
0.19,0.5906654052349417,0.3921971252566735,Extreme Model
0.2,0.5782613266056975,0.406570841889117,Extreme Model
0.21,0.5685903500473037,0.4188911704312115,Extreme Model
0.22,0.5596552086618312,0.43121149897330596,Extreme Model
0.23,0.5527173341742878,0.4414784394250513,Extreme Model
0.24,0.5467255334805003,0.4455852156057495,Extreme Model
0.25,0.5394723010617051,0.45585215605749485,Extreme Model
0.26,0.5334805003679176,0.45585215605749485,Extreme Model
0.27,0.5269631031220435,0.45790554414784396,Extreme Model
0.28,0.522232734153264,0.4620123203285421,Extreme Model
0.29,0.5184484389782403,0.46611909650924027,Extreme Model
0.3,0.5158204562178073,0.4702258726899384,Extreme Model
0.31,0.5132975927677914,0.4702258726899384,Extreme Model
0.32,0.5114054451802796,0.4722792607802875,Extreme Model
0.33,0.5095132975927678,0.47433264887063653,Extreme Model
0.34,0.5082518658677599,0.47433264887063653,Extreme Model
0.35000000000000003,0.5072006727635867,0.47638603696098564,Extreme Model
0.36,0.5055187637969095,0.4784394250513347,Extreme Model
0.37,0.5042573320719016,0.4784394250513347,Extreme Model
0.38,0.5033112582781457,0.4784394250513347,Extreme Model
0.39,0.5027856617260591,0.4784394250513347,Extreme Model
0.4,0.5019447072427204,0.4784394250513347,Extreme Model
0.41000000000000003,0.5013139913802166,0.4804928131416838,Extreme Model
0.42,0.5006832755177126,0.48254620123203285,Extreme Model
0.43,0.5003679175864606,0.48254620123203285,Extreme Model
0.44,0.49984232103437404,0.48254620123203285,Extreme Model
0.45,0.49963208241353935,0.48254620123203285,Extreme Model
0.46,0.49952696310312206,0.48254620123203285,Extreme Model
0.47000000000000003,0.4994218437927047,0.48254620123203285,Extreme Model
0.48,0.4994218437927047,0.48254620123203285,Extreme Model
0.49,0.4994218437927047,0.48254620123203285,Extreme Model
0.5,0.49900136655103544,0.48254620123203285,Extreme Model
0.51,0.49900136655103544,0.48254620123203285,Extreme Model
0.52,0.49900136655103544,0.48254620123203285,Extreme Model
0.53,0.49900136655103544,0.48254620123203285,Extreme Model
0.54,0.49900136655103544,0.48254620123203285,Extreme Model
0.55,0.4988962472406181,0.48254620123203285,Extreme Model
0.56,0.4988962472406181,0.48254620123203285,Extreme Model
0.5700000000000001,0.4988962472406181,0.48254620123203285,Extreme Model
0.58,0.4988962472406181,0.48254620123203285,Extreme Model
0.59,0.4988962472406181,0.48254620123203285,Extreme Model
0.6,0.4988962472406181,0.48254620123203285,Extreme Model
0.61,0.49868600861978346,0.48254620123203285,Extreme Model
0.62,0.4984757699989488,0.48254620123203285,Extreme Model
0.63,0.4980552927572795,0.48254620123203285,Extreme Model
0.64,0.4979501734468622,0.48254620123203285,Extreme Model
0.65,0.4977399348260275,0.48254620123203285,Extreme Model
0.66,0.49763481551561023,0.48254620123203285,Extreme Model
0.67,0.49679386103227163,0.48254620123203285,Extreme Model
0.68,0.49616314516976767,0.48459958932238195,Extreme Model
0.6900000000000001,0.4953221906864291,0.486652977412731,Extreme Model
0.7000000000000001,0.49427099758225584,0.486652977412731,Extreme Model
0.71,0.493009565857248,0.4887063655030801,Extreme Model
0.72,0.4913276568905708,0.4887063655030801,Extreme Model
0.73,0.489120151371807,0.4887063655030801,Extreme Model
0.74,0.4868075265426259,0.49075975359342916,Extreme Model
0.75,0.48354882791968884,0.4989733059548255,Extreme Model
0.76,0.47923893619257857,0.5071868583162218,Extreme Model
0.77,0.4749290444654683,0.5154004106776181,Extreme Model
0.78,0.4687270051508462,0.5195071868583162,Extreme Model
0.79,0.46399663618206666,0.5256673511293635,Extreme Model
0.8,0.45726900031535794,0.5277207392197125,Extreme Model
0.81,0.4500157678965626,0.5420944558521561,Extreme Model
0.8200000000000001,0.43950383685483024,0.5626283367556468,Extreme Model
0.8300000000000001,0.42678440029433407,0.5749486652977412,Extreme Model
0.84,0.4126984126984127,0.5893223819301848,Extreme Model
0.85,0.3973509933774834,0.5954825462012321,Extreme Model
0.86,0.3812677388836329,0.6057494866529775,Extreme Model
0.87,0.362451382318932,0.6180698151950719,Extreme Model
0.88,0.3437401450646484,0.6365503080082136,Extreme Model
0.89,0.32134973194575844,0.648870636550308,Extreme Model
0.9,0.2984337222747819,0.6817248459958932,Extreme Model
0.91,0.27425628087879744,0.7125256673511293,Extreme Model
0.92,0.24776621465363188,0.7433264887063655,Extreme Model
0.93,0.22117102911804898,0.7638603696098563,Extreme Model
0.9400000000000001,0.18953011668243455,0.7905544147843943,Extreme Model
0.9500000000000001,0.16104278355933985,0.8234086242299795,Extreme Model
0.96,0.13160937664248923,0.8603696098562629,Extreme Model
0.97,0.09492273730684327,0.8973305954825462,Extreme Model
0.98,0.06117943866288237,0.9363449691991786,Extreme Model
0.99,0.027961736571008096,0.973305954825462,Extreme Model
1.0,0.0,1.0,Extreme Model
